wav_id,발화문,상황,1번 감정,1번 감정세기,2번 감정,2번 감정세기,3번 감정,3번 감정세기,4번 감정,4번감정세기,5번 감정,5번 감정세기,나이,성별
5f4141e29dd513131eacee2f,헐! 나 이벤트에 당첨 됐어.,happiness,angry,2,surprise,2,happiness,2,happiness,2,happiness,2,48,female
5f4141f59dd513131eacee30,내가 좋아하는 인플루언서가 이벤트를 하더라고. 그래서 그냥 신청 한번 해봤지.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
5f4142119dd513131eacee31,"한 명 뽑는 거였는데, 그게 바로 내가 된 거야.",happiness,angry,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
5f4142279dd513131eacee32,"당연히 마음에 드는 선물이니깐, 이벤트에 내가 신청 한번 해본 거지. 비싼 거야. 그래서 못 산 향수야.",happiness,angry,2,happiness,2,happiness,2,happiness,2,happiness,1,48,female
5f3c9ed98a3c1005aa97c4bd,에피타이저 정말 좋아해. 그 것도 괜찮은 생각인 것 같애.,neutral,happiness,2,happiness,1,happiness,2,happiness,1,happiness,1,48,female
5f3c9ef78a3c1005aa97c4be,난 부페 형식의 음식들도 정말 좋아해. 그 것도 좀 알려 줘.,neutral,neutral,0,happiness,2,happiness,1,happiness,1,neutral,0,48,female
5f3c9f658a3c1005aa97c4c7,응. 완전히 끝난 거야. 한 달 동안 주말에 쉬지도 못하고 일만 했거든.,happiness,happiness,2,happiness,1,sadness,1,sadness,1,sadness,1,48,female
5f3c9f808a3c1005aa97c4c8,"신나는 음악 듣는 것도 좋고, 어디 여행 가고 싶고 이 것 저 것 다 해보고 싶어.",happiness,neutral,0,happiness,2,happiness,2,happiness,1,sadness,1,48,female
5f3c9f9c8a3c1005aa97c4cb,친구들도 내 연락 기다리고 있을 텐데 내가 까먹고 있었네?,happiness,neutral,0,happiness,1,sadness,1,sadness,1,neutral,0,48,female
5f3c9fcc8a3c1005aa97c4ce,그래. 일단은 친구들부터 만나서 여행 계획에 대해서 얘기 좀 해봐야 되겠어.,happiness,neutral,0,happiness,1,neutral,0,neutral,0,neutral,0,48,female
5f3ca01b8a3c1005aa97c4d3,나 요즘 너무 우울해 죽겠어.,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
5f3ca06b8a3c1005aa97c4da,맞아. 사람은 나가서 활동을 해야 된다고.,sadness,neutral,0,sadness,1,sadness,2,sadness,1,sadness,2,48,female
5f3ca09d8a3c1005aa97c4df,좀 활기 있는 영화로 좀 부탁할게.,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,48,female
5f3ca4778a3c1005aa97c50d,내가 좋아하는 유튜버가 좋은 제품이라고 하길래 나도 샀지. 그런데 그게 돈 받고 하는 광고였대잖아.,angry,disgust,2,angry,2,angry,1,angry,1,angry,1,48,female
5f3ca4a28a3c1005aa97c510,그래서 사람들이 증거 사진을 올렸더니 그 때서야 광고였다고 미안하다고 하는 거야.,angry,disgust,2,angry,2,angry,1,angry,1,angry,1,48,female
5f3ca4cf8a3c1005aa97c515,처음부터 자기 잘못을 알고 미안하다고 했으면 화가 이렇게 나진 않았을 거야. 사람들이 증거를 올리니까 그 때서야 사과하는 게 진정성이 느껴지지가 않아.,angry,disgust,2,angry,2,angry,2,angry,1,angry,1,48,female
5f4142459dd513131eacee33,아니. 이제부터 자랑 한번 해봐야지.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,1,48,female
5f41426d9dd513131eacee35,내 휴가가 엉망진창이 돼버렸어.,angry,disgust,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
5f4142819dd513131eacee36,휴가 시작함과 동시에 장마도 같이 시작해버렸어. 그래서 하루 종일 비가 와.,angry,disgust,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
5f41429f9dd513131eacee37,여름 휴가는 뭐니뭐니 해도 여름 바다야. 그런데 지금 이렇게 비가 많이 오니 바다를 갈 수가 없어.,angry,disgust,2,angry,2,sadness,2,sadness,1,sadness,2,48,female
5f4142c09dd513131eacee38,그 동안 바빠서 한 번을 휴가를 못 갔어. 한 1년만인 거 같애.,angry,sadness,2,angry,2,sadness,1,sadness,1,sadness,1,48,female
5f4142e09dd513131eacee39,집에서 즐길 수 있는 영화나 게임 그런 것 좀 소개 좀 해줘.,angry,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,48,female
5f4143a89dd513131eacee3b,아니. 아까 해피 산책 시키다가 나 정말 깜짝 놀랐어.,surprise,surprise,2,surprise,2,surprise,2,disgust,1,surprise,2,48,female
5f4143c09dd513131eacee3c,"해피랑 산책하다 걷고 있는데 갑자기 목줄이 끊어진 거야. 얼마나 놀랬는지, 지금도 심장이 다 떨려.",surprise,surprise,2,surprise,2,surprise,2,disgust,1,surprise,2,48,female
5f4143e09dd513131eacee3d,다행히 지나가던 분이 잡아주셨어. 얼마나 고마운지 몰라.,surprise,neutral,0,surprise,2,sadness,1,neutral,0,neutral,0,48,female
5f4143fa9dd513131eacee3e,주변 분들도 다 나를 이해해주시드라고. 오히려 내가 위로 받고 왔어.,surprise,sadness,2,happiness,1,sadness,1,neutral,0,neutral,0,48,female
5f4144189dd513131eacee3f,지금은 많이 진정되었어. 다음부턴 조심해야 되겠어.,surprise,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,48,female
5f41443c9dd513131eacee41,나 축하해줘. 기분 좋은 일이 생겼어.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
5f4144529dd513131eacee42,나 이번에 10km 마라토너로 뛰었거든. 그런데 내 기록보다 훨씬 좋은 기록이 나온 거야.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
5f41446c9dd513131eacee43,"아니. 선수처럼 그렇게 기록이 좋진 않지만, 그 동안의 내가 노력한 결과에, 결과를 얻은 것 같애서 좋다는 거야.",happiness,happiness,2,happiness,2,happiness,2,happiness,1,happiness,1,48,female
5f4144ad9dd513131eacee45,대단히 많은 크룬 아니고.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,48,female
5f4144c69dd513131eacee46,당연히 같이 서로 의지하면서 운동하는 사람들 있어. 그 사람들 덕분에 여기까지 온 것 같애.,happiness,happiness,2,happiness,2,happiness,2,happiness,1,happiness,1,48,female
5f4144f69dd513131eacee48,나 요즘 주식 시작했는데 너무 후회가 돼.,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
5f41450c9dd513131eacee49,아는 지인이 갑자기 연락 왔더라고. 좋은 주식 있으니까 같이 해보자고. 그래서 시작한 거야.,sadness,sadness,2,sadness,2,sadness,1,sadness,1,sadness,1,48,female
5f4145279dd513131eacee4a,"맞아. 주식은 정말 쉬운 종, 쉬운 게 아니야. 요즘 뜨고 있는 바이오 주식을 샀는데도 이래.",sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,2,48,female
5f4145429dd513131eacee4b,처음 산 것 보다 훨씬 많이 떨어져 있어.,sadness,neutral,0,sadness,1,sadness,2,sadness,1,sadness,2,48,female
5f41455d9dd513131eacee4c,어차피 팔지도 못해. 지금 팔면 반토막밖에 안 남아.,sadness,sadness,2,sadness,1,sadness,2,sadness,1,sadness,2,48,female
5f4145859dd513131eacee4e,나 어제 자다가 정말 깜짝 놀랬어.,surprise,surprise,2,surprise,2,surprise,2,disgust,1,surprise,2,48,female
5f4145989dd513131eacee4f,"잠결에 들어서 그런가 정말 폭탄이 폭발하는 소리가, 들리드라고. 얼마나 놀랬겠어.",surprise,surprise,2,surprise,2,surprise,2,disgust,1,surprise,2,48,female
5f4145b89dd513131eacee50,실제로는 폭탄이 터지는 게 아니라 그냥 천둥 소리였어. 그 소리가 그렇게 크게 들리더라고.,surprise,surprise,2,surprise,2,sadness,1,neutral,0,surprise,1,48,female
5f4145f69dd513131eacee52,다행히 그냥 천둥만 치고 뭐 비나 이런 건 오지 않더라고. 그러니 다행이지.,surprise,neutral,0,surprise,2,sadness,1,neutral,0,neutral,0,48,female
5f41461a9dd513131eacee53,다행히 천둥 소리에 놀란 것 빼고는 별다른 문제 없었어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,48,female
5f41463e9dd513131eacee55,화장실은 청소를 해도 곰팡이는 없어지질 않아. 어떻게 해야 돼.,angry,disgust,2,angry,2,sadness,2,disgust,2,disgust,2,48,female
5f4146589dd513131eacee56,맞아. 우리 집은 화장실에 창문 하나도 없어. 그러니 습기가 빠져나갈 데가 없어.,angry,neutral,0,sadness,1,sadness,2,disgust,2,sadness,2,48,female
5f41467a9dd513131eacee57,맞아. 장마철이라 더 많은 곰팡이가 피는 것 같애. 그래서 하루 종일 락스로 닦았더니 머리까지 아파 이젠.,angry,disgust,2,angry,2,sadness,2,disgust,2,sadness,2,48,female
5f41469c9dd513131eacee58,"곰팡이 제거제라는 것도 있었어? 아이, 그런 걸로 청소를 했어야 하는 건데.",angry,surprise,2,angry,2,sadness,2,disgust,2,surprise,1,48,female
5f4146b99dd513131eacee59,당연히 구매해서 써봐야지. 당장에 구매할게.,angry,neutral,0,happiness,1,sadness,2,disgust,2,angry,1,48,female
5f4146db9dd513131eacee5b,으! 쓰레기통에서 역겨운 냄새가 나기 시작했어.,disgust,disgust,2,disgust,2,disgust,2,disgust,2,disgust,2,48,female
5f4146f39dd513131eacee5c,며칠 전에 버린 음식물 쓰레기 때문에 그렇게 된 것 같애.,disgust,sadness,2,disgust,2,disgust,2,disgust,1,disgust,2,48,female
5f4147089dd513131eacee5d,당연히 바로 묶어서 버렸지. 하지만 냄새가 사라지질 않아.,disgust,disgust,2,disgust,1,disgust,2,disgust,1,disgust,2,48,female
5f4147209dd513131eacee5e,"음식물 쓰레기 냄새, 방향제 냄새까지 섞이면 이상할까 봐서 못 뿌렸어.",disgust,disgust,2,disgust,1,disgust,2,disgust,1,sadness,1,48,female
